xm,ym
1,2194.5
2,151.36
3,0.62
4,0.62
5,111.78
6,172.95
7,0.62
8,21.48
9,323.15
10,0.62
11,0.62
12,0.62
13,105.84
14,256.67
15,294.88
16,101.5
17,0.62
18,250.5
19,0.62
20,167.88
21,121.31
22,47.39
23,244.48
24,51.41
25,91.16
26,90.52
27,110.22
28,150.2
29,0.62
30,72.92
31,487.19
32,201.18
33,173.74
34,164.73
35,484.49
36,314.26
37,97.23
38,74.77
39,187.33
40,0.62
41,0.62
42,291.36
43,0.62
44,0.62
45,284.92
46,97.98
47,139.36
48,177.34
49,139.82
